Customer Name,Ticket #,Effective Date,Commodity Type,Commodity Name,Material Name,Material Code,Cost,Net Weight,Gross Weight,Reported Um,Cost/UM,Adjustments,Adjustments Description,Price Cost/UM,Price UM,Carrier Name,Supplier Type,Vendor Class,Location Name,Address 1,Address 2,City,State,Zip,Notes,Account Manager,Yard Name
4 Flutes Machining,19168,2026-04-06T14:35:18.833-05:00[America/Chicago],NON_FERROUS,ALUMINUM,ALUMINIUM TURNS,ALUTURN,102.0000,408,500,LBS,0.25000000000000000000,0,,0.2500,LBS,,Industrial,Manufacturing,4 Flutes Machining,820 Prairie Street,-,-Vicksburg,MI,-49097,,Robert Wallace,Benton Metals
4 Flutes Machining,21025,2026-05-11T07:17:12.816-05:00[America/Chicago],NON_FERROUS,ALUMINUM,ALUMINIUM TURNS,ALUTURN,76.0000,304,396,LBS,0.25000000000000000000,0,,0.2500,LBS,,Industrial,Manufacturing,4 Flutes Machining,820 Prairie Street,-,-Vicksburg,MI,-49097,,Robert Wallace,Benton Metals
4 Flutes Machining,21025,2026-05-11T07:17:12.816-05:00[America/Chicago],NON_FERROUS,ALUMINUM,ALUMINIUM TURNS,ALUTURN,76.7500,307,399,LBS,0.25000000000000000000,0,,0.2500,LBS,,Industrial,Manufacturing,4 Flutes Machining,820 Prairie Street,-,-Vicksburg,MI,-49097,,Robert Wallace,Benton Metals
4 Flutes Machining,21025,2026-05-11T07:17:12.816-05:00[America/Chicago],NON_FERROUS,ALUMINUM,ALUMINIUM TURNS,ALUTURN,79.5000,318,410,LBS,0.25000000000000000000,0,,0.2500,LBS,,Industrial,Manufacturing,4 Flutes Machining,820 Prairie Street,-,-Vicksburg,MI,-49097,,Robert Wallace,Benton Metals
4 Flutes Machining,19168,2026-04-06T14:35:18.833-05:00[America/Chicago],NON_FERROUS,ALUMINUM,ALUMINIUM TURNS,ALUTURN,75.2500,301,393,LBS,0.25000000000000000000,0,,0.2500,LBS,,Industrial,Manufacturing,4 Flutes Machining,820 Prairie Street,-,-Vicksburg,MI,-49097,,Robert Wallace,Benton Metals
4 Flutes Machining,19168,2026-04-06T14:35:18.833-05:00[America/Chicago],NON_FERROUS,ALUMINUM,ALUMINIUM TURNS,ALUTURN,72.5000,290,382,LBS,0.25000000000000000000,0,,0.2500,LBS,,Industrial,Manufacturing,4 Flutes Machining,820 Prairie Street,-,-Vicksburg,MI,-49097,,Robert Wallace,Benton Metals
4 Flutes Machining,19168,2026-04-06T14:35:18.833-05:00[America/Chicago],NON_FERROUS,ALUMINUM,ALUMINIUM TURNS,ALUTURN,26.7500,107,199,LBS,0.25000000000000000000,0,,0.2500,LBS,,Industrial,Manufacturing,4 Flutes Machining,820 Prairie Street,-,-Vicksburg,MI,-49097,,Robert Wallace,Benton Metals
4 Flutes Machining,19168,2026-04-06T14:35:18.833-05:00[America/Chicago],NON_FERROUS,STAINLESS STEEL TIER 1,304 STAINLESS STEEL TURNINGS,NI300BO,108.6000,543,635,LBS,0.20000000000000000000,0,,0.2000,LBS,,Industrial,Manufacturing,4 Flutes Machining,820 Prairie Street,-,-Vicksburg,MI,-49097,,Robert Wallace,Benton Metals
4 Flutes Machining,19168,2026-04-06T14:35:18.833-05:00[America/Chicago],NON_FERROUS,STAINLESS STEEL TIER 1,316 STAINLESS STEEL TURNINGS,NI316BO,79.8000,266,358,LBS,0.30000000000000000000,0,,0.3000,LBS,,Industrial,Manufacturing,4 Flutes Machining,820 Prairie Street,-,-Vicksburg,MI,-49097,,Robert Wallace,Benton Metals
4 Flutes Machining,19168,2026-04-06T14:35:18.833-05:00[America/Chicago],NON_FERROUS,STAINLESS STEEL TIER 1,304 STAINLESS STEEL TURNINGS,NI300BO,37.8000,189,281,LBS,0.20000000000000000000,0,,0.2000,LBS,,Industrial,Manufacturing,4 Flutes Machining,820 Prairie Street,-,-Vicksburg,MI,-49097,,Robert Wallace,Benton Metals
