Customer Name,Ticket #,Effective Date,Commodity Type,Commodity Name,Material Name,Material Code,Cost,Net Weight,Reported Um,Cost/UM,Adjustments,Adjustments Description,Price Cost/UM,Price UM,Carrier Name,Supplier Type,Vendor Class,Location Name,Address 1,Address 2,City,State,Zip,Notes,Account Manager,Yard Name
Atkore,21043,2026-05-11T09:43:54.84-05:00[America/Chicago],FERROUS,STEEL,HEAVY MELT - UNPREPARED,UNPHMS,1105.7100,13760,LBS,0.08035683139534883721,0,,180.0000,GT,,Industrial,Manufacturing,Atkore,2400 E 69th Ave,,Merrillville,IN,46410,,Pauline Samaniego,Merrillville Metal Recycling
Atkore,21043,2026-05-11T09:43:54.84-05:00[America/Chicago],FERROUS,STEEL,HEAVY MELT - UNPREPARED,UNPHMS,827.6800,10300,LBS,0.08035728155339805825,0,,180.0000,GT,,Industrial,Manufacturing,Atkore,2400 E 69th Ave,,Merrillville,IN,46410,,Pauline Samaniego,Merrillville Metal Recycling
Atkore,21043,2026-05-11T09:43:54.84-05:00[America/Chicago],FERROUS,STEEL,"UNPREPARED P&S ",UNPREP,654.1100,8880,LBS,0.07366103603603603604,0,,165.0000,GT,,Industrial,Manufacturing,Atkore,2400 E 69th Ave,,Merrillville,IN,46410,,Pauline Samaniego,Merrillville Metal Recycling
Atkore,21043,2026-05-11T09:43:54.84-05:00[America/Chicago],FERROUS,STEEL,SHEET IRON,SHIRST,116.4300,3260,LBS,0.03571472392638036810,0,,80.0000,GT,,Industrial,Manufacturing,Atkore,2400 E 69th Ave,,Merrillville,IN,46410,,Pauline Samaniego,Merrillville Metal Recycling
Atkore,17213,2026-02-20T11:20:49.617-06:00[America/Chicago],FERROUS,STEEL,HEAVY MELT - UNPREPARED,UNPHMS,1180.1600,20335,LBS,0.05803589869682812884,2525,2525lbs Unsorted,130.0000,GT,MMR Finco,Industrial,Manufacturing,Atkore,2400 E 69th Ave,,Merrillville,IN,46410,,Pauline Samaniego,Merrillville Metal Recycling
Atkore,17213,2026-02-20T11:20:49.617-06:00[America/Chicago],FERROUS,STEEL,ZZ DO NOT USE - UNPREPARED HMS (uhms),UNHMS,2035.7600,29420,LBS,0.06919646498980285520,0,,155.0000,GT,MMR Finco,Industrial,Manufacturing,Atkore,2400 E 69th Ave,,Merrillville,IN,46410,,Pauline Samaniego,Merrillville Metal Recycling
Atkore,21043,2026-05-11T09:43:54.84-05:00[America/Chicago],FERROUS,STEEL,HEAVY MELT - UNPREPARED,UNPHMS,954.6400,15840,LBS,0.06026767676767676768,0,,135.0000,GT,,Industrial,Manufacturing,Atkore,2400 E 69th Ave,,Merrillville,IN,46410,,Pauline Samaniego,Merrillville Metal Recycling
Atkore,17213,2026-02-20T11:20:49.617-06:00[America/Chicago],NON_FERROUS,STAINLESS STEEL TIER 1,316 STAINLESS STEEL SOLIDS,NISS316,1463.0000,2660,LBS,0.55000000000000000000,0,,0.5500,LBS,MMR Finco,Industrial,Manufacturing,Atkore,2400 E 69th Ave,,Merrillville,IN,46410,,Pauline Samaniego,Merrillville Metal Recycling
Atkore,17213,2026-02-20T11:20:49.617-06:00[America/Chicago],NON_FERROUS,STAINLESS STEEL TIER 1,316 STAINLESS STEEL SOLIDS,NISS316,758.2500,2525,LBS,0.30029702970297029703,0,630.5$ Recovery,0.5500,LBS,MMR Finco,Industrial,Manufacturing,Atkore,2400 E 69th Ave,,Merrillville,IN,46410,,Pauline Samaniego,Merrillville Metal Recycling
ATN Technology,17913,2026-03-10T10:13:57.723-05:00[America/Chicago],NON_FERROUS,COPPER TIER 2,COMMUNICATION WIRE,COMWIRECU,841.0500,623,LBS,1.3500000000000000,0,,1.3500,LBS,,Retail,," ",-,,,,,,Pauline Samaniego,Merrillville Metal Recycling
ATN Technology,21330,2026-05-15T09:46:15.604-05:00[America/Chicago],NON_FERROUS,COPPER TIER 2,COMMUNICATION WIRE,COMWIRECU,554.8500,411,LBS,1.3500000000000000,0,,1.3500,LBS,,Retail,," ",-,,,,,,Pauline Samaniego,Merrillville Metal Recycling
Bearcat Metal Fab,17750,2026-03-06T10:44:54.275-06:00[America/Chicago],NON_FERROUS,ALUMINUM,6061 TURNINGS,AL6061TURNS,500.0000,1000,LBS,0.50000000000000000000,0,,0.5000,LBS,,Industrial,Manufacturing,Bearcat Metal Fab,2431 E Kercher,,Goshen,IN,46526,,Robert Wallace,Merrillville Metal Recycling
Bearcat Metal Fab,17750,2026-03-06T10:44:54.275-06:00[America/Chicago],NON_FERROUS,ALUMINUM,6063 BARE ALUMINUM EXTRUSION,AL06063,7904.0000,9880,LBS,0.80000000000000000000,0,,0.8000,LBS,,Industrial,Manufacturing,Bearcat Metal Fab,2431 E Kercher,,Goshen,IN,46526,,Robert Wallace,Merrillville Metal Recycling
Central City Group,22515,2026-06-03T14:32:48.757-05:00[America/Chicago],FERROUS,STEEL,SHEET IRON,SHIRST,184.9100,2180,LBS,0.08482110091743119266,0,,190.0000,GT,,Retail,," ",-,,,,,,Robert Wallace,Merrillville Metal Recycling
